line_cd,company_cd,line_name,line_name_rn,line_type,station_cd,station_g_cd,station_name,station_name_rn,lon,lat
1004,2,東北新幹線,Tohoku Shinkansen,1,100419,9920509,いわて沼宮内,IWATE-NUMAKUNAI,141.217655,39.960853
1004,2,東北新幹線,Tohoku Shinkansen,1,100420,9920515,二戸,NINOHE,141.285655,40.259881
1004,2,東北新幹線,Tohoku Shinkansen,1,100421,1120601,八戸,HACHINOHE,141.431468,40.509161
1004,2,東北新幹線,Tohoku Shinkansen,1,100422,100422,七戸十和田,SHICHINOHE-TOWADA,141.153948,40.719917
1004,2,東北新幹線,Tohoku Shinkansen,1,100423,1120265,新青森,SHIN-AOMORI,140.693472,40.8275
1005,2,上越新幹線,Joetsu Shinkansen,1,100501,1130101,東京,TOKYO,139.766084,35.681382
1005,2,上越新幹線,Joetsu Shinkansen,1,100502,1130220,上野,UENO,139.777254,35.713768
1005,2,上越新幹線,Joetsu Shinkansen,1,100503,1131906,大宮,OMIYA,139.624,35.906206
1005,2,上越新幹線,Joetsu Shinkansen,1,100504,1132316,熊谷,KUMAGAYA,139.389942,36.139702
1005,2,上越新幹線,Joetsu Shinkansen,1,100505,100505,本庄早稲田,HONJOWASEDA,139.179739,36.218575
1005,2,上越新幹線,Joetsu Shinkansen,1,100506,1131816,高崎,TAKASAKI,139.013057,36.322356
1005,2,上越新幹線,Joetsu Shinkansen,1,100507,100507,上毛高原,JOMO-KOGEN,138.977579,36.693128
1005,2,上越新幹線,Joetsu Shinkansen,1,100508,1134220,越後湯沢,ECHIGO-YUZAWA,138.809891,36.93611
1005,2,上越新幹線,Joetsu Shinkansen,1,100509,1134227,浦佐,URASA,138.922703,37.167591
1005,2,上越新幹線,Joetsu Shinkansen,1,100510,1134236,長岡,NAGAOKA,138.853927,37.447787
1005,2,上越新幹線,Joetsu Shinkansen,1,100511,1141006,燕三条,TSUBAMESANJO,138.93873,37.647752
1005,2,上越新幹線,Joetsu Shinkansen,1,100512,1140442,新潟,NIIGATA,139.061883,37.912027
1006,2,上越新幹線(ガーラ湯沢支線),Joetsu Shinkansen,1,100601,1134220,越後湯沢,ECHIGO-YUZAWA,138.809891,36.93611
1006,2,上越新幹線(ガーラ湯沢支線),Joetsu Shinkansen,1,100602,100602,ガーラ湯沢,GALA YUZAWA,138.799528,36.950889
1007,2,山形新幹線,Yamagata Shinkansen,1,100701,1130101,東京,TOKYO,139.766084,35.681382
1007,2,山形新幹線,Yamagata Shinkansen,1,100702,1130220,上野,UENO,139.777254,35.713768
1007,2,山形新幹線,Yamagata Shinkansen,1,100703,1131906,大宮,OMIYA,139.624,35.906206
1007,2,山形新幹線,Yamagata Shinkansen,1,100704,1131918,小山,OYAMA,139.80685,36.3142
1007,2,山形新幹線,Yamagata Shinkansen,1,100705,1131923,宇都宮,UTSUNOMIYA,139.898283,36.558701
1007,2,山形新幹線,Yamagata Shinkansen,1,100706,1131932,那須塩原,NASUSHIOBARA,140.020514,36.931772
1007,2,山形新幹線,Yamagata Shinkansen,1,100707,1123106,新白河,SHIN-SHIRAKAWA,140.188998,37.123281
1007,2,山形新幹線,Yamagata Shinkansen,1,100708,1123114,郡山,KORIYAMA,140.388412,37.397983
1007,2,山形新幹線,Yamagata Shinkansen,1,100709,1123124,福島,FUKUSHIMA,140.458724,37.754311
1007,2,山形新幹線,Yamagata Shinkansen,1,100710,1121609,米沢,YONEZAWA,140.128087,37.909639
1007,2,山形新幹線,Yamagata Shinkansen,1,100711,1121611,高畠,TAKAHATA,140.153149,37.992595
