line_cd,company_cd,line_name,line_name_rn,line_type
11918,6,佐世保線,Sasebo Line,2
11920,6,筑肥線,Chikuhi Line,2
11921,6,唐津線,Karatsu Line,2
11922,6,大村線,Omura Line,2
11923,6,豊肥本線,Hohi Main Line,2
11924,6,三角線（あまくさみすみ線）,Misumi Line,2
11925,6,えびの高原線,Hisatsu Line,2
11926,6,肥薩線,Hisatsu Line,2
11927,6,宮崎空港線,Miyazaki Airport Line,2
11928,6,日南線,Nichinan Line,2
11929,6,えびの高原線,Kitto Line,2
11930,6,指宿枕崎線,Ibusuki Makurazaki Line,2
